Individual,Mean,LowerBound,UpperBound
1,-0.030825309014452372,-0.2617975310662277,0.2599730049626373
2,-0.02496415992319717,-0.19485685189497892,0.19087745842592796
3,-0.03540147091451678,-0.33779539066495196,0.3303129602744223
4,-0.03879768400237116,-0.47647197780093736,0.45580479196553464
5,-0.03429674682375881,-0.624409553700282,0.5338243534113788
6,-0.03305565443602338,-0.2949034655762753,0.2908401176860161
7,-0.03756614424295577,-0.5548263930876429,0.48048177569841405
8,-0.0383206982937731,-0.5254118854726351,0.4737659017456165
9,-0.038521864153714634,-0.5137819345231198,0.4703630506818673
10,-0.038448646725565264,-0.4334124031212772,0.4168701452127312
11,-0.014171637089100523,-0.0984545128042343,0.09441198752204887
12,-0.023567331504965025,-0.18012655629292273,0.1764625706807541
13,-0.038087470290586393,-0.41493141849045057,0.4000740463235501
14,-0.038252644199962285,-0.42254880752004087,0.40701258486713593
15,-0.03577176493099536,-0.34582679518762616,0.3376451829991823
16,-0.03387225371633949,-0.30863040488188137,0.3035295933191828
17,-0.03834512774796643,-0.4274305988596946,0.41146851923333616
18,-0.03373753140718759,-0.6356314684659427,0.5433548104167198
19,-0.032560297421180426,-0.6530893438989853,0.568568782186551
20,-0.03711833201633202,-0.38024570346969816,0.3688069806759004
21,-0.03878906511645026,-0.48290633460993915,0.4593048139853615
22,-0.03498107544151883,-0.3292409574633423,0.3224708925706685
23,-0.02852034830020701,-0.23400537249048342,0.23179044851082595
24,-0.038269489899081854,-0.5280729816177336,0.4744910191483102
25,-0.03585326243779941,-0.596821681372889,0.5039127713886002
26,-0.5900494565765337,-1.0421190648181216,-0.13113087884922509
27,-0.6287158380005429,-1.1088903651026583,-0.15009428539300648
28,-0.34673530130013996,-0.6686244749180791,-0.023422430871226776
29,-0.42157822197641925,-0.7863167462266707,-0.05255120039716477
30,-0.5384147973088437,-0.9544348321206054,-0.10621487672358088
31,-0.5709134345547223,-1.0090684307448423,-0.11781034653025681
32,-0.3721502879254707,-0.7096549216819017,-0.030014264320621743
33,-0.5485479749624291,-0.9703949318047986,-0.11141194676178297
34,-0.20236416207258792,-0.4025086628296625,0.05532674926628566
35,-0.5996030242001764,-1.0586093022535188,-0.13971316102538361
36,-0.19565078545522435,-0.38923521280144624,0.056370574238457344
37,-0.5581372671977406,-0.9870005022523916,-0.115879122602849
38,-0.27465706231501086,-0.5449867250331104,0.029034630274247606
39,-0.4903838679534651,-0.88741662062014,-0.085243934243169
40,-0.550677594461071,-0.9740890648776063,-0.11231824343668395
41,-0.6786447050880089,-1.1952119121860798,-0.17195778897214453
42,-0.5613329846493558,-0.9925042458243059,-0.1163879344976178
43,-0.31981825429975225,-0.6237240329359689,-0.0007230080332565863
44,-0.48024265558119883,-0.873926581198417,-0.08145836077755518
45,-0.33089112901861506,-0.6424453211536006,-0.009605803597350013
46,-0.40933398283583616,-0.7677284744840941,-0.052105006144962523
47,-0.07924771271472739,-0.1577483082444422,0.04342275761128732
48,-0.5607992586552868,-0.991576039273882,-0.11635228172897553
49,-0.6324140980701081,-1.1152784414736647,-0.15217092672907243
50,-0.3642008018616201,-0.6969688508851587,-0.02736384303756421
51,-0.043063091779970177,-0.111876893934688,0.05425079155246704
52,-0.184740265899401,-0.4464066763133544,0.10986280425449746
53,-0.35557540677743465,-0.7715662922016012,0.039890878995568986
54,-0.3315932829540829,-0.7282724572711053,0.06829678027160282
55,-0.4646546207201324,-0.9604883032645486,0.07007361655725619
56,-0.5062879327605202,-1.0216832376280673,0.06691014106330481
57,-0.3003914907241104,-0.6705436927725308,0.06929538825029197
58,-0.31208947189863145,-0.6924232811466503,0.07035975908062464
59,-0.4262722367652077,-0.8952799935868487,0.06529497145142356
60,-0.1702126461579327,-0.4145088150204575,0.1069372389620308
61,-0.29169844448704907,-0.654088224653863,0.06841747112340563
62,-0.11674037607349028,-0.29219359803435163,0.081722744995631
63,-0.13317218511784568,-0.33051169519785834,0.09024439431937216
64,-0.21905721356772542,-0.5131435621017348,0.11783337299831495
65,-0.14658944175891375,-0.3613242473029974,0.09666612884778462
66,-0.2788246677343381,-0.6294893621998569,0.06787610574414235
67,-0.3369925378430777,-0.7380964808636349,0.06717653710373986
68,-0.10885932407720011,-0.27356392320151823,0.08242225164500634
69,-0.08377168318758857,-0.21219329820017716,0.07909461522875462
70,-0.21758121977956169,-0.5110047974072415,0.11943864213310154
71,-0.20287216993261717,-0.4850585844361911,0.1186212062056293
72,-0.35287989485110444,-0.7667456852576984,0.044706343233481466
73,-0.19935155710016383,-0.47762623229077605,0.11696194325541347
74,-0.11645849895359964,-0.29152530883359007,0.08172609386983248
75,-0.30249238826901276,-0.6744818420085057,0.06950402912905086
76,-0.4617389223275728,-0.9327891382145659,-0.03614824929380696
77,-0.3054304934319849,-0.669773013312474,0.050667945730218406
78,-0.1782339445895913,-0.4305724725892888,0.11827142500232403
79,-0.16072653110590676,-0.3932859197867239,0.11711577897709816
80,-0.3237182978877637,-0.7014254569640795,0.041618264684363915
81,-0.08036153313858986,-0.20841263047576702,0.0875154855011659
82,-0.2035120539953188,-0.48268583836067763,0.11058163633507952
83,-0.2568633223274408,-0.5777331746131915,0.08594656732809995
84,-0.43173723533832786,-0.8820007984704986,-0.03005039187293391
85,-0.21218844239838863,-0.49913391502558735,0.10545699249813689
86,-0.36834221704285175,-0.7734481000118182,0.019647726621785905
87,-0.09687386867246318,-0.2483999963520189,0.09727901213759371
88,-0.4219288113522685,-0.8654884978895305,-0.02526804954410656
89,-0.044623777339633595,-0.11819433187037451,0.05706617805213436
90,-0.16689516594064233,-0.4065439811425151,0.11774276128954525
91,-0.33354890299987605,-0.7154170702802684,0.042391346450932094
92,-0.1202627743123255,-0.3031217584037839,0.10722038800266263
93,-0.35335833421606255,-0.7470751601655095,0.033155563836935124
94,-0.16000319548598957,-0.39173779192582003,0.11700612108386492
95,-0.2905390808489917,-0.6418213874779304,0.06457577042898688
96,-0.6106214331281784,-1.231073037779372,-0.0016515581216038759
97,-0.2909400954394763,-0.6425728339857404,0.06427098588197447
98,-0.2331794639531981,-0.5364623198043627,0.09758483144750094
99,-0.4733614172042988,-0.9520793330335523,-0.04029606583817641
100,-0.2224494064576274,-0.5176436275195199,0.10192817565633243
101,-0.04210274919916658,-0.32377990624344377,0.32826290728100815
102,-0.026198483778113752,-0.24570059793710572,0.24801848592824371
103,-0.10520991587106254,-0.5322578678560244,0.3064557388873162
104,-0.13148977628263078,-0.6081899149261593,0.3264872262582365
105,-0.09446832156273076,-0.4925379425658126,0.2862399849447701
106,-0.08478497057393293,-0.4674440554165035,0.28578722135968954
107,-0.09391038172134678,-0.49114420077110343,0.28691823169468916
108,-0.04447665006457686,-0.33199446793170195,0.3384041448655849
109,-0.10403905206881145,-0.5293130169885817,0.30456667284401584
110,-0.009024029447318994,-0.11524172600881184,0.11927156135867882
111,-0.012822421018399695,-0.15030044458430175,0.15428952047964345
112,-0.08922517482714003,-0.47918014256099206,0.2912632380555713
113,-0.06468947757608125,-0.3988737325517147,0.3364769282291097
114,-0.0195756975058261,-0.20269798602724604,0.20686862671933504
115,-0.07534639837731105,-0.44064679504903076,0.31309596246921256
116,-0.03651371343830007,-0.2993216225785432,0.30916644163764984
117,0.0008102582992373187,-0.018601109689483634,0.014355213814068646
118,-0.03141671223711043,-0.274203697664274,0.28143107402592854
119,-0.03379204797473316,-0.2862080191053192,0.294636282652776
120,-0.03573851528186435,-0.29565136674414744,0.30508735649817453
121,-0.07125621776525937,-0.4254889506801392,0.32306418287052585
122,-0.08214752983800404,-0.460196420688192,0.2939662956026678
123,-0.0813628571566985,-0.45800116111684286,0.2963284755994153
124,-0.05955223111489538,-0.3773506174020161,0.3444401949866805
125,-0.009206336002614977,-0.11702915244814291,0.12081893241880531
126,-0.11399093784399886,-0.32436175792589306,0.1891834892061844
127,-0.15696399131467603,-0.42651922007931564,0.22529468954393084
128,-0.062007717317932254,-0.19130381685779813,0.15508555163856885
129,-0.22027499536226586,-0.5660328520866245,0.18774101337797644
130,-0.22448101100309464,-0.5764806950814408,0.18115938879624988
131,-0.1367393852081726,-0.37943926993970256,0.2145124278766465
132,-0.20679006540553463,-0.5305792925580748,0.20053928930269696
133,-0.2306952325229156,-0.5927316988374242,0.17409895635925307
134,-0.07060898680384234,-0.21447872060501408,0.1675368490585998
135,-0.3193710504216739,-0.7828105040984835,0.17211942295063704
136,-0.23194215112697286,-0.5959146159033429,0.1726435699925416
137,-0.11123825696839265,-0.31750352947386906,0.18969276340381547
138,-0.31045330245984976,-0.7662879680038273,0.1749833629051449
139,-0.20411676424309483,-0.5237260864033779,0.20311026552720052
140,-0.12861579169276532,-0.3600656629328314,0.20289564960745446
141,-0.2065466492423639,-0.529953092835709,0.20077168481546145
142,-0.1963820368453764,-0.5057830940793374,0.21011226993936527
143,-0.19517982354926075,-0.5035564514322726,0.21111637403508104
144,-0.3333184377872675,-0.8081933951403724,0.1783113325872873
145,-0.18847887786379744,-0.49094759840732316,0.2117331155502547
146,-0.19999752056002007,-0.5132014407048806,0.20689902294834608
147,-0.1347534936460086,-0.37474550629389575,0.21171140798916768
148,-0.037831382191877774,-0.12235559671174068,0.10620771432244519
149,-0.2530930862518046,-0.6433622639234752,0.17219275954097668
150,-0.22696234934637233,-0.5829939046139072,0.17837678482299602
