Individual,Mean,LowerBound,UpperBound
1,0.0019577851725091815,-0.003762295587885526,0.006982211988557592
2,0.019492242977068648,-0.036874629877243846,0.06881174578627068
3,-0.016168271311642852,-0.058326574561497604,0.03235661696859336
4,-0.04726015386680894,-0.17736162713977055,0.09950759655239674
5,-0.07798897677356295,-0.3164014099300755,0.1775522136729716
6,-0.006076470431865253,-0.021783629834127287,0.011732835268153595
7,-0.06395149260394442,-0.2491497498815107,0.14072497931202563
8,-0.05779486311129554,-0.22199769483548043,0.1240978046452036
9,-0.05532278106804676,-0.21131387289660208,0.11820188588929514
10,-0.037680862918906065,-0.13862491990250725,0.0780626252007099
11,0.045352668132333226,-0.08281877433843218,0.15793030777409306
12,0.02319257212081909,-0.043676102934200635,0.08170456975691513
13,-0.03349091582379013,-0.1222732642005205,0.0688880172306583
14,-0.03522441728090626,-0.12895376565934555,0.07266454757378103
15,-0.018015812929313983,-0.06506949125258656,0.03618562577919281
16,-0.009342007579099403,-0.03354398097391508,0.018185625164555845
17,-0.036332945291172175,-0.13331085506835766,0.07511323734242746
18,-0.07967533800363766,-0.3253020517829729,0.18216592697389822
19,-0.08289899807366832,-0.3426929802053526,0.19095494479047972
20,-0.025798475388920317,-0.09367697341676762,0.052426140718212645
21,-0.048664396373669164,-0.18317503259625953,0.10272851478997343
22,-0.014175298795094863,-0.05106270371913943,0.028208800164582142
23,0.009325119969378624,-0.017897105393916604,0.03310499874794986
24,-0.05835315637028131,-0.22443657768770875,0.12547340657774636
25,-0.07251034045037708,-0.28842974742365923,0.1628335056191969
26,-0.24098795113049745,-0.4935838092500634,0.017044727135291485
27,-0.26381446873090286,-0.541826246301215,0.023678838659791798
28,-0.07886671107847833,-0.15890009412176279,-0.00278293615609754
29,-0.13235100573875563,-0.26798721098565836,-0.0006217721346203796
30,-0.20932549906018488,-0.42720211827725013,0.009729209763375548
31,-0.2294123066865427,-0.46924188069647194,0.014118895205919147
32,-0.09741436958585253,-0.19659094958428028,-0.00244540702672471
33,-0.2156450203390122,-0.44039806692269506,0.011020859478528827
34,0.03438965092261194,0.003120528014567304,0.0686193704768989
35,-0.2466969496880808,-0.5056059236164023,0.01858097398169097
36,0.03999679647062578,0.003708559369914228,0.07976392647106441
37,-0.22158054781548192,-0.45281988585427063,0.012323748506933867
38,-0.02404196330079996,-0.048204334366159445,-0.001526211902626262
39,-0.17860156721347553,-0.3633300325029393,0.004427070023726415
40,-0.21696760238759158,-0.44316462514743493,0.011317197476334646
41,-0.29221507397255436,-0.6024297494036155,0.03321968827151624
42,-0.22354655206383583,-0.4569398310588472,0.012745963176981739
43,-0.058784712785616276,-0.11820245537853465,-0.00269567125517678
44,-0.17195451569017425,-0.3495500201027858,0.003502276527023364
45,-0.06710078258120836,-0.13502988072292543,-0.0027949315691035105
46,-0.12383365350405609,-0.25052354495719875,-0.0011959940475098733
47,0.14216506314787486,0.019086600873381807,0.28153387614029185
48,-0.22321997772395696,-0.4562615170686607,0.01267873047757168
49,-0.265959040501733,-0.5463844205981354,0.024345871248271443
50,-0.0916549488961215,-0.18486049803070492,-0.0025757475019652825
51,0.08916510470921127,0.004588644601541459,0.19746668508850632
52,-0.05086742635778037,-0.10708887714372872,-0.002643972139514075
53,-0.20014623420800146,-0.41722137990137864,-0.009231443047394818
54,-0.1801352482636815,-0.3762241838240331,-0.008337316494642278
55,-0.2887763096859158,-0.6024598869786978,0.0011960364340405166
56,-0.3220456757616442,-0.6690854986118815,0.004809213464755926
57,-0.15371148007237437,-0.32175924456946126,-0.007244278273121722
58,-0.16367372716317125,-0.34234667157836296,-0.007612306590302894
59,-0.2579321860403435,-0.5353570436631865,-0.008790568256213008
60,-0.037299097258999644,-0.07857610642088732,-0.001980964039078548
61,-0.14626425662127795,-0.30634422587322346,-0.006921106226310939
62,0.014125014459265395,0.0007607073979605357,0.030511022460663194
63,-0.0019337429575532364,-0.004142559981479115,-0.00011276302975799105
64,-0.08230113822470841,-0.1730633226340384,-0.004155751317931451
65,-0.014874244710455656,-0.03156961264909204,-0.0007912136662361898
66,-0.13515725306705112,-0.28331371221723767,-0.0064877037176201595
67,-0.18466264103307203,-0.3855155244526658,-0.008526420314202608
68,0.021908535295263126,0.0012319762151626861,0.04755002136439454
69,0.047073553783134874,0.0026841944193900505,0.10350115677963348
70,-0.08096549137141683,-0.17026444015960934,-0.004110639220918494
71,-0.06758236348361354,-0.14220658662237998,-0.0034716466875572014
72,-0.19791002374053507,-0.41264858414716754,-0.009121536624545876
73,-0.06435609193840527,-0.1354100521263543,-0.003311592957427168
74,0.014403683473953304,0.000800119123388474,0.03111738618037975
75,-0.15550468713791693,-0.3254846985177425,-0.007293012196727025
76,-0.217196647322297,-0.4592454573745336,0.04711706646481117
77,-0.11788314882579254,-0.23909635620079317,0.018690716791886747
78,-0.01649343863198278,-0.032300840464558916,-0.0005540824887988818
79,-0.0006662816643314563,-0.0012818905433674224,-4.043941481492874e-5
80,-0.13076493166044645,-0.26658827843241195,0.021767268289437255
81,0.07906400646500643,0.0043747639362653554,0.15076057586145677
82,-0.03847285644341745,-0.07589759448091449,-0.0009282817307818222
