T,Y,obj
0.6058333333,2.9133202000000002,NH
0.6566666667,3.0646023000000002,NH
0.5504166667,2.7961571,NH
0.4466666667,2.9850745,NH
0.32875,3.0098637999999998,NH
0.5816666667,2.8058784,NH
0.385,3.0242069,NH
0.40833333330000005,3.3012915,NH
0.4175,2.9219685,NH
0.48,3.1780035,NH
0.7275,3.912292,NH
0.6670833333,3.069702,NH
0.4941666667,3.1521505000000003,NH
0.4883333333,2.9013925,NH
0.5445833333,2.5470644,NH
0.5716666667,2.8366441,NH
0.48458333330000003,2.7534758999999998,NH
0.3216666667,3.2752211,NH
0.3079166667,3.2310581,NH
0.5195833333000001,2.8049233,NH
0.4416666667,2.9432177999999998,NH
0.5566666667,2.9770822,NH
0.6275,2.9756926,NH
0.40625,2.9100477,NH
0.35125,3.1748309,NH
0.32833333330000003,7.3775361,CT
0.2979166667,8.2662415,CT
0.51875,7.7201537,CT
0.46,7.3835392,CT
0.36875,8.0807968,CT
0.34333333330000004,8.2765164,CT
0.49875,6.9646072,CT
0.3608333333,8.170995399999999,CT
0.63375,7.293114699999999,CT
0.3208333333,7.9524615999999995,CT
0.6391666667,6.9629568,CT
0.3533333333,8.1057875,CT
0.5758333333,7.3726118000000005,CT
0.40625,7.740317699999999,CT
0.35916666669999997,7.979532000000001,CT
0.25833333329999997,8.6666654,CT
0.3508333333,8.1766421,CT
0.54,7.0212827,CT
0.41416666669999996,7.2336990000000005,CT
0.53125,6.8944701,CT
0.4695833333,7.377436,CT
0.7341666667,9.186442699999999,CT
0.35125,7.826472,CT
0.295,8.2825382,CT
0.505,6.8976355,CT
0.7325,2.0975460999999997,RI
0.5225,1.8810654999999998,RI
0.2833333333,2.3060522,RI
0.3166666667,2.179776,RI
0.1291666667,2.6653589,RI
0.06791666667,2.5624627,RI
0.36,2.0995826,RI
0.34375,2.1019961,RI
0.1841666667,2.5430544999999998,RI
0.5433333333,1.9896174,RI
0.37208333330000004,2.1751019,RI
0.62125,1.8525170999999998,RI
0.5970833333000001,1.8987453,RI
0.47375,2.0553998,RI
0.5775,1.9482211,RI
0.39,1.9772547999999999,RI
0.30916666670000004,2.2769705,RI
0.6329166667,1.9975038,RI
0.6704166667,2.1733496,RI
0.4758333333,2.058046,RI
0.4966666667,1.9111116999999997,RI
0.28708333329999997,2.2808848999999998,RI
0.5016666666999999,1.8633639,RI
0.6216666666999999,2.0025165,RI
0.3570833333,2.1394256,RI
0.2866666667,7.3308082,MA
0.44208333330000005,6.153755,MA
0.5791666666999999,5.9374707,MA
0.5991666667,5.9876808,MA
0.4233333333,6.2204135,MA
0.6954166667,7.0793327,MA
0.5508333333000001,5.8031916,MA
0.4929166667,6.198114,MA
0.31583333329999996,6.7573274,MA
0.54125,6.4815435,MA
0.3783333333,6.3185058,MA
0.675,6.6557982,MA
0.32541666669999997,7.1117322,MA
0.7408333333,8.8271115,MA
0.5920833333000001,5.8324829,MA
0.4133333333,6.3063255,MA
0.6466666667,6.53838,MA
0.39333333330000003,6.6133931,MA
0.6,6.0276301,MA
0.4575,6.1289692,MA
0.1429166667,8.287036,MA
0.4570833333,6.206845700000001,MA
0.5183333333,6.153557,MA
0.27541666670000003,7.1865838,MA
0.53,5.2777645,MA
0.49208333330000004,2.737945,ME
0.5716666667,2.838734,ME
0.2745833333,3.4300363,ME
0.20333333329999997,3.6137726000000003,ME
0.3058333333,3.3166849000000003,ME
0.3354166667,3.0261322,ME
0.3075,3.0925285,ME
0.48166666669999997,3.0761392,ME
0.27791666670000004,3.2494945,ME
0.6933333333,3.5394243999999997,ME
0.6608333333,3.0047395,ME
0.3216666667,3.1419246,ME
0.4025,3.004148,ME
0.6120833333,2.9908914,ME
0.3658333333,3.2197579000000003,ME
0.5179166667,2.7522953,ME
0.8133333333,4.1390621,ME
0.5433333333,2.6996580000000003,ME
0.53125,2.8842883,ME
0.5216666667,3.013475,ME
0.37958333330000005,3.1715815999999997,ME
0.34375,3.4471856,ME
0.34625,3.0499171,ME
0.42125,2.9323891,ME
0.6916666667,3.2247558,ME
0.5429166666999999,1.296438,VT
0.4616666667,1.3949521,VT
0.6508333333,1.4563957,VT
0.3508333333,1.5352005,VT
0.34375,1.5520769,VT
0.4991666667,1.3682065,VT
0.37375,1.4510014,VT
0.33333333330000003,1.39527,VT
0.6320833333,1.3880511,VT
0.1895833333,1.8595062000000002,VT
0.33125,1.3675042,VT
0.5483333333,1.2618778,VT
0.20375,1.5991549,VT
0.3783333333,1.5615874,VT
0.5145833333000001,1.3696397999999999,VT
0.3741666667,1.4119688,VT
0.3916666667,1.4293460999999998,VT
0.39375,1.4240519,VT
0.1675,1.7195848999999999,VT
0.4054166667,1.4090437,VT
0.38541666669999997,1.4957662,VT
0.5029166667,1.5687976000000001,VT
0.7058333333,1.4833667,VT
0.29625,1.7392597,VT
0.3395833333,1.5334662000000001,VT
