T,Y,obj
0.41,1.4602735068960107,VT
0.42,1.4515878763595977,VT
0.43,1.4418460213626578,VT
0.44,1.4312300062078744,VT
0.45,1.420089871487653,VT
0.46,1.408874005199737,VT
0.47,1.3980286846266523,VT
0.48,1.387890892519958,VT
0.49,1.378603253868233,VT
0.5,1.3700765020092933,VT
0.51,1.3620135771855268,VT
0.52,1.3539931020132387,VT
0.53,1.345593162314811,VT
0.54,1.3365240754220924,VT
0.55,1.3267350456337024,VT
0.56,1.3164657713010859,VT
0.57,1.3062286878660714,VT
0.58,1.2967264960200462,VT
0.59,1.2887274010337497,VT
0.6,1.2829317976193608,VT
0.61,1.2798655820851315,VT
0.62,1.2798264340468652,VT
0.63,1.2828929930454402,VT
0.64,1.2889878967238104,VT
0.65,1.2979699604108645,VT
0.66,1.309723145503484,VT
0.67,1.3242126351256573,VT
0.68,1.34149031075867,VT
0.69,1.3616492624850889,VT
0.7,1.3847440307038663,VT
0.71,1.410704527288796,VT
0.72,1.4392733490595437,VT
0.73,1.4699878670617412,VT
0.74,1.5022127235563534,VT
0.75,1.5352103218680948,VT
0.25,3.4102454352541183,ME
0.26,3.383500928359642,ME
0.27,3.356119111717599,ME
0.28,3.32831631472595,ME
0.29,3.3004093336502507,ME
0.3,3.2728176660386,ME
0.31,3.246020846349853,ME
0.32,3.2204851338553,ME
0.33,3.1965804390542143,ME
0.34,3.17450917732661,ME
0.35,3.154264220154077,ME
0.36,3.1356250719772594,ME
0.37,3.1181922693336963,ME
0.38,3.101452088960743,ME
0.39,3.0848585301523705,ME
0.4,3.067917740243598,ME
0.41,3.0502611853449775,ME
0.42,3.0316969925602564,ME
0.43,3.0122330002717925,ME
0.44,2.992069432678255,ME
0.45,2.9715634286649033,ME
0.46,2.9511717851270625,ME
0.47,2.931382022360583,ME
0.48,2.9126447269956124,ME
0.49,2.895321224957542,ME
0.5,2.8796590580532455,ME
0.51,2.8658029353659242,ME
0.52,2.8538410844967794,ME
0.53,2.8438775755705787,ME
0.54,2.836112488779795,ME
0.55,2.830906392242041,ME
0.56,2.8288057518011778,ME
0.57,2.8305126859097114,ME
0.58,2.8367952527242486,ME
0.59,2.8483507242873842,ME
0.6,2.865650160107728,ME
0.61,2.888803591262673,ME
0.62,2.917487401392215,ME
0.63,2.95096687488128,ME
0.64,2.9882277212906816,ME
0.65,3.0282038236990667,ME
0.66,3.0700600604162505,ME
0.67,3.113465755343646,ME
0.68,3.1587829007904014,ME
0.69,3.2070986538913644,ME
0.7,3.2600552130676803,ME
0.71,3.319469230335379,ME
0.72,3.3867804106290826,ME
0.73,3.462414874076779,ME
0.74,3.5451822827080126,ME
0.75,3.631837419122057,ME
0.25,8.85641421565583,CT
0.26,8.774945479592338,CT
0.27,8.679203317905351,CT
