error,likelihood,model,obj
0.06844233642890594,0.38370683236235037,correct,NH
0.0520663019907036,0.09878024865014834,correct,RI
0.14705984214595888,0.07368908526228006,correct,MA
0.07599862650796708,-0.20528305516490722,correct,VT
0.02530139804207099,0.41755113833689317,correct,ME
0.1689281876807058,-0.12505646991744498,correct,CT
0.3364642171155244,-1.185577116619869,no_confounding,NH
0.38407296393421475,-1.0863873671592699,no_confounding,RI
0.5994528627393501,-1.7176264486237185,no_confounding,MA
0.35747314533829505,-0.7923558598656298,no_confounding,VT
0.30562516390036587,-1.1652607995424493,no_confounding,ME
0.753696982680533,-2.0555310555910338,no_confounding,CT
0.18768240638866043,-0.9483344586754731,no_objects,NH
0.13834368253319163,0.881006763402726,no_objects,RI
0.42675338398575186,-4.902740667965442,no_objects,MA
0.04593141110422492,1.3003707712099797,no_objects,VT
0.13619768533881363,-0.4025201028695888,no_objects,ME
0.5910932856270876,-10.325683846887209,no_objects,CT
0.07305171929283258,1.2138366935313187,GP_per_object,NH
0.09244507185131431,0.9927694849151825,GP_per_object,RI
0.5384863949595406,-1.9126207750051747,GP_per_object,MA
0.1288989674949021,0.25187921480031844,GP_per_object,VT
0.047601577251973476,1.3208135155445628,GP_per_object,ME
0.7024282615701665,-6.193314524176518,GP_per_object,CT
0.2537771603784642,-0.3504722241819026,MLM,NH
0.20292217485966957,-0.3097324398244897,MLM,RI
0.5270667749836591,-0.7761896364380324,MLM,MA
0.08213504959361,-0.2705177556306251,MLM,VT
0.20972861594009387,-0.30780057128398497,MLM,ME
0.7073851804566509,-1.1661648546812469,MLM,CT
0.27825010050255955,-0.3903853746093776,MLM_offset,NH
0.21378155232625812,-0.32839713845081997,MLM_offset,RI
0.5014920026494821,-0.7279297286732294,MLM_offset,MA
0.07886905289267225,-0.2504659285627941,MLM_offset,VT
0.22368529811135296,-0.33434946888377415,MLM_offset,ME
0.6753762912557908,-1.1089898575497594,MLM_offset,CT
