error,likelihood,model,obj
0.028997101834593225,0.34565528541454527,correct,NH
0.05099595395400123,0.35866642080357314,correct,RI
0.11855101702069075,-0.08394243223240612,correct,MA
0.05524281732068913,0.07206771236159629,correct,VT
0.04142160211991026,0.35493020709746786,correct,ME
0.13911321406422922,-0.09065071855572708,correct,CT
0.27135746201209976,-0.8878028738960363,no_confounding,NH
0.21712161301226815,-0.8492545609395267,no_confounding,RI
0.5508849126045774,-2.107970229004885,no_confounding,MA
0.18011802131770782,-0.3245303458545005,no_confounding,VT
0.24840147069118812,-0.8945711015891677,no_confounding,ME
0.7094560361933074,-2.340956879431375,no_confounding,CT
0.2929848939319964,-0.28111017098039204,no_objects,NH
0.23114525024135296,-0.34003651013431446,no_objects,RI
0.5291017592566838,-3.0363493866883076,no_objects,MA
0.08340411557664273,1.0641056488862917,no_objects,VT
0.2371101916641695,-0.1753176199732213,no_objects,ME
0.7056348762929029,-4.35952739999485,no_objects,CT
0.26973689394351724,0.9047721958118783,GP_per_object,NH
0.08697406527461496,1.1323029913915617,GP_per_object,RI
0.542276877832327,-3.832894251925899,GP_per_object,MA
0.0512336133139568,1.7515671897641572,GP_per_object,VT
0.19039253163004916,0.8550327225160633,GP_per_object,ME
0.6953354852507901,-4.973841075507158,GP_per_object,CT
0.2887930089118583,-0.4550110909220944,MLM,NH
0.18784076796904067,-0.38172725201608065,MLM,RI
0.5733680038381288,-0.861975737364228,MLM,MA
0.07374096971464533,-0.33959832338824664,MLM,VT
0.22546231626539892,-0.4067200948807043,MLM,ME
0.6747751327663377,-1.0534728276653402,MLM,CT
0.2575813071497327,-0.4597859596692348,MLM_offset,NH
0.19487961130020923,-0.4060763610613236,MLM_offset,RI
0.5048728451789417,-0.7470087639629005,MLM_offset,MA
0.07656852918914404,-0.3546603016680331,MLM_offset,VT
0.20880586741485488,-0.41645421352675016,MLM_offset,ME
0.6721436647582338,-1.053215798676878,MLM_offset,CT
