error,likelihood,model,obj
0.06741764847061327,0.35355764371936216,correct,NH
0.05746427575829939,0.030472295504197718,correct,RI
0.14496819180425835,0.04386139531295315,correct,MA
0.07320528825248282,-0.2607287714870272,correct,VT
0.02637039327553726,0.42388921967244647,correct,ME
0.17138357170199128,-0.16342850299787848,correct,CT
0.3234781701088406,-1.2411921492273468,no_confounding,NH
0.3626262220504522,-1.0403008012298063,no_confounding,RI
0.5881372453936297,-2.6514169967491443,no_confounding,MA
0.33667814960716386,-0.7635727872217479,no_confounding,VT
0.292490513940164,-1.1882103280080403,no_confounding,ME
0.7440111253176875,-4.300526296260971,no_confounding,CT
0.16730016364888317,-0.4457035624731407,no_objects,NH
0.11829230748661634,0.9709314079121371,no_objects,RI
0.41385036506867445,-10.875729603726104,no_objects,MA
0.04581972258899924,1.2493982607811427,no_objects,VT
0.12306528058180437,-0.21073959531226327,no_objects,ME
0.5728497696007103,-12.544042683047772,no_objects,CT
0.07108009077929653,1.2238105312718324,GP_per_object,NH
0.09074343485139942,0.9418463121323359,GP_per_object,RI
0.5353676651575869,-4.433966667594379,GP_per_object,MA
0.1224276283064828,0.2928013777363553,GP_per_object,VT
0.05139661780314898,1.297070291264394,GP_per_object,ME
0.7020894481622572,-5.749553518097027,GP_per_object,CT
0.2561957670105628,-0.34358473724805205,MLM,NH
0.21868937396855914,-0.30714619828923223,MLM,RI
0.5245567401977419,-0.7794126976523018,MLM,MA
0.08623399882003074,-0.26612931452520544,MLM,VT
0.2081591485413488,-0.293591443936012,MLM,ME
0.7158058492653133,-1.137733879860635,MLM,CT
0.28386852025609227,-0.3987404487699061,MLM_offset,NH
0.21969934568607002,-0.34057292142142015,MLM_offset,RI
0.5017765530874793,-0.7330859089694668,MLM_offset,MA
0.07995687280537193,-0.265767658119628,MLM_offset,VT
0.22618052821000237,-0.341931629964607,MLM_offset,ME
0.6800720294635436,-1.115455944903859,MLM_offset,CT
